Destino,Total Cantidad,Precio del domicilio,Precio 26-50 postres,Ingreso de domicilios,Cantidad de pedidos por cliente,Comisión de Conductor,Valor total comisión conductor,,,,,,Fecha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Total postres,,,,,4,5,3,5,5,4,3,2,5,5,4,4,5,5,4,5,5,2,4,5,2,5,4,5,4,5,4,7,8,,,,,,,,,,,
N° de clientes / domicilios,,0,0,,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,,,,,,,,,,,
Domicilios $ por día,"$ 4,200",$ 0,$ 0,,"$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 4,200","$ 4,200","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 4,200","$ 8,400","$ 8,400","$ 4,200","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400","$ 8,400",,,,,,,,,,,
Total domicilios,54,"$ 226,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARINÓ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guarinó,N° de clientes,1,2,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,
Cliente 1,,,4,,3,3,3,,,,,,3,3,,2,3,3,3,3,3,,,,,,3,2,,,3,4,4,,,,,,,,,,,
Cliente 2,,,3,,2,2,3,,,,,,2,2,,2,2,2,,2,2,,,,,,,2,,,,3,3,,,,,,,,,,,
Cliente 3,,,,,,,2,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Total postres,,,7,,5,5,8,,,,,,5,5,,6,7,7,3,5,5,,,,,,3,4,,,3,7,7,,,,,,,,,,,
N° de clientes / domicilios,,0,2,,2,2,3,0,0,0,0,0,2,2,0,3,3,3,1,2,2,0,0,0,0,0,1,2,0,0,1,2,2,,,,,,,,,,,
Domicilios $ por día,"$ 4,800",$ 0,"$ 9,600",,"$ 9,600","$ 9,600","$ 14,400",$ 0,$ 0,$ 0,$ 0,$ 0,"$ 9,600","$ 9,600",$ 0,"$ 14,400","$ 14,400","$ 14,400","$ 4,800","$ 9,600","$ 9,600",$ 0,$ 0,$ 0,$ 0,$ 0,"$ 4,800","$ 9,600",$ 0,$ 0,"$ 4,800","$ 9,600","$ 9,600",,,,,,,,,,,
Total domicilios,35,"$ 168,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,N° de clientes,1,2,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,
Cliente 1,,,,,4,4,4,,,,,,,3,,,4,3,,,,,,,,,2,2,,,,4,3,,,,,,,,,,,
Cliente 2,,,,,2,3,3,,,,,,,2,,,2,2,,,,,,,,,1,1,,,,4,3,,,,,,,,,,,
Cliente 3,,,,,,2,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Total postres,,,,,6,9,10,,,,,,,5,,,6,7,,,,,,,,,3,3,,,,8,6,,,,,,,,,,,
N° de clientes / domicilios,,0,0,,2,3,3,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,,,,,,,,,,,
Domicilios $ por día,"$ 8,000",$ 0,$ 0,,"$ 16,000","$ 24,000","$ 24,000",$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,"$ 16,000",$ 0,$ 0,"$ 16,000","$ 24,000",$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,"$ 16,000","$ 16,000",$ 0,$ 0,$ 0,"$ 16,000","$ 16,000",,,,,,,,,,,
Total domicilios,23,"$ 184,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORIA CALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Caldas,N° de clientes,1,2,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,
Cliente 1,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Cliente 2,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Cliente 3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total postres,,,,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
N° de clientes / domicilios,,0,0,,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,
Domicilios $ por día,"$ 10,000",$ 0,$ 0,,$ 0,"$ 30,000","$ 20,000",$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,"$ 20,000",,,,,,,,,,,
Total domicilios,7,"$ 70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
